EPPPCP- AC,EPPPCP- DP,EPPPCP- AE,EPPPCP- CR,EPPPCP- IE, RC emp-A 1,TR emp-A 1, EO emp-A 1, EC emp-A 1, RC emp-T 1,TR emp-T 1, EO emp-T 1, EC emp-T 1, RC emp-E 1,TR emp-E 1, EO emp-E 1, EC emp-E 1, RC mem-A 1,TR mem-A 1, EO mem-A 1, EC mem-A 1, RC mem-T 1,TR mem-T 1, EO mem-T 1, EC mem-T 1, RC mem-E 1,TR mem-E 1, EO mem-E 1, EC mem-E 1, RC emp-ID 1,TR emp-ID 1, EO emp-ID 1, EC emp-ID 1, RC mem-ID 1,TR mem-ID 1, EO mem-ID 1, EC mem-ID 1
3.68,0.9,3.38,3.09,1.14,90,2.38,0,10,50,2.36,0,50,40,2.23,0,60,100,1.31,0,0,60,1.34,20,20,70,1.23,10,20,76.67,1.94,3.33,20.69,90,0.92,0,10
3.63,1.2,3.25,2.91,1.43,80,2.65,20,0,30,2.78,40,30,70,2.38,10,20,50,1.27,0,50,40,1.39,30,30,50,1.46,40,10,60,1.43,0,40,80,1,6.67,13.33
4,1,4,2.36,1.14,90,1.89,0,10,30,1.85,0,70,50,2.03,0,50,70,0.66,0,30,60,0.68,0,40,50,1.05,0,50,90,1.27,0,10,90,1,0,10
3.84,1.2,3.25,2.09,0.86,80,2.72,0,20,50,2.54,10,40,40,2.08,0,60,60,1.27,30,10,60,1.45,40,0,50,1.39,20,30,83.33,2.41,6.67,10,93.33,1.19,6.67,0
3.68,0.8,3,0.55,0.71,70,2.34,10,20,60,2.55,0,40,60,2.7,0,40,80,1.3,20,0,70,1.43,10,20,70,1.44,10,20,96.67,2.04,0,3.33,90,1.06,0,10
0.32,3.5,0,2.36,3.43,90,2.75,0,10,70,3.06,10,20,40,2.89,10,50,60,1.46,40,0,60,1.68,30,10,90,1.49,0,10,93.33,2.49,3.3,3.33,73.33,1.14,13.33,13.33
4,2,4,2.18,0.86,70,2.82,20,10,50,2.45,10,40,60,2.39,0,40,80,1.54,10,10,60,1.61,10,30,70,1.26,20,10,93.33,2.27,0,6.67,90,1.05,3.33,6.67
4,3.3,2.75,2.73,1.29,90,2.02,0,10,80,1.78,0,20,60,1.75,0,40,100,0.93,0,0,70,1.25,10,20,80,1.14,0,20,93.33,1.33,0,6.67,96.67,0.74,0,3.33
3.47,1.2,2.38,1.82,1.29,90,2.9,10,0,60,2.74,20,20,50,2.62,10,40,60,1.36,30,10,40,1.3,40,20,30,1.58,40,30,96.67,2.04,0,3.33,0.8,1.24,13.33,6.67
3.74,0.2,3,2,0.57,60,2.79,30,10,80,2.82,20,0,50,2.47,10,40,60,1.27,40,0,70,1.43,30,0,60,1.48,30,10,93.33,2.28,3.33,3.33,0.83,1.13,13.33,3.33
3.79,1.1,4,2.45,1.14,90,2.31,0,10,60,2.83,10,30,40,2.45,10,50,90,1.4,0,10,40,1.39,30,30,50,1.24,20,30,93.33,2.09,0,6.67,0.73,1.29,16.67,10
3.95,0.9,4,3.27,0.43,80,1.94,0,20,50,2.04,20,30,40,2.36,0,60,80,1.18,0,20,50,1.07,0,50,60,1.02,0,40,90,2.11,0,10,0.9,1.13,3.33,6.67
