SSIS 1,SSIS-Comu 1,SSIS-Coop 1,SSIS-As 1,SSIS-Resp 1,SSIS-Emp 1,SSIS-Comp 1,SSIS-AC 1,SSIS PC 1,SSIS-Ext 1,SSIS-Bull 1,SSIS-HI 1,SSIS-Int 1,alegria,tr alegria,tristeza,tr tristeza,enojo,tr enojo,identidad,tr identidad,sexo,tr sexo
105.00,16.00,14.00,17.00,11.00,17.00,20.00,10.00,43.00,16.00,2.00,10.00,16.00,0.85,0.70,0.62,0.69,0.72,0.77,0.88,0.67,0.50,0.74
71.00,13.00,11.00,17.00,6.00,14.00,7.00,3.00,40.00,18.00,2.00,13.00,12.00,0.63,0.65,0.63,0.64,0.53,0.65,0.78,0.63,0.58,0.76
112.00,16.00,18.00,16.00,16.00,15.00,17.00,14.00,9.00,4.00,1.00,3.00,3.00,1.00,0.56,0.93,0.61,0.90,0.57,1.00,0.48,0.73,0.59
97.00,15.00,13.00,18.00,12.00,9.00,19.00,11.00,27.00,15.00,5.00,12.00,0.00,0.83,0.71,0.90,0.77,0.82,0.72,0.98,0.61,0.82,0.76
103.00,17.00,13.00,16.00,12.00,15.00,16.00,14.00,25.00,4.00,1.00,6.00,11.00,0.78,0.62,0.78,0.67,0.90,0.63,0.93,0.61,0.53,0.72
69.00,13.00,11.00,10.00,12.00,8.00,6.00,9.00,4.00,1.00,0.00,3.00,1.00,0.90,0.59,0.95,0.58,0.83,0.60,0.98,0.52,0.78,0.57
120.00,19.00,17.00,21.00,15.00,17.00,21.00,10.00,21.00,9.00,1.00,9.00,4.00,0.85,0.64,0.78,0.68,0.83,0.66,0.93,0.63,0.92,0.68
77.00,13.00,9.00,13.00,10.00,9.00,13.00,10.00,33.00,15.00,2.00,11.00,8.00,0.95,0.63,0.83,0.65,0.85,0.56,1.00,0.57,0.82,0.62
80.00,11.00,11.00,11.00,14.00,16.00,9.00,8.00,34.00,13.00,0.00,10.00,11.00,0.98,0.64,0.93,0.65,0.93,0.64,0.98,0.55,0.92,0.64
105.00,17.00,16.00,15.00,15.00,15.00,12.00,15.00,16.00,4.00,1.00,5.00,6.00,0.55,0.65,0.82,0.70,0.83,0.67,0.97,0.65,0.47,0.73
105.00,16.00,14.00,15.00,12.00,16.00,20.00,12.00,28.00,9.00,2.00,9.00,10.00,0.62,0.68,0.73,0.67,0.65,0.68,0.82,0.63,0.67,0.69
79.00,18.00,9.00,10.00,10.00,10.00,15.00,7.00,25.00,11.00,2.00,9.00,5.00,0.95,0.56,0.87,0.57,0.82,0.57,0.98,0.51,0.87,0.62
